id,src,dst,next,cost
0,0,1,1,1
1,0,2,1,2
2,0,3,1,3
3,0,4,1,4
4,0,5,1,5
5,0,6,1,6
6,0,7,1,7
7,0,8,1,8
8,0,9,1,9
9,1,0,0,1
10,1,2,2,1
11,1,3,2,2
12,1,4,2,3
13,1,5,2,4
14,1,6,2,5
15,1,7,2,6
16,1,8,2,7
17,1,9,2,8
18,2,0,1,2
19,2,1,1,1
20,2,3,3,1
21,2,4,3,2
22,2,5,3,3
23,2,6,3,4
24,2,7,3,5
25,2,8,3,6
26,2,9,3,7
27,3,0,2,3
28,3,1,2,2
29,3,2,2,1
30,3,4,4,1
31,3,5,4,2
32,3,6,4,3
33,3,7,4,4
34,3,8,4,5
35,3,9,4,6
36,4,0,3,4
37,4,1,3,3
38,4,2,3,2
39,4,3,3,1
40,4,5,5,1
41,4,6,5,2
42,4,7,5,3
43,4,8,5,4
44,4,9,5,5
45,5,0,4,5
46,5,1,4,4
47,5,2,4,3
48,5,3,4,2
49,5,4,4,1
50,5,6,6,1
51,5,7,6,2
52,5,8,6,3
53,5,9,6,4
54,6,0,5,6
55,6,1,5,5
56,6,2,5,4
57,6,3,5,3
58,6,4,5,2
59,6,5,5,1
60,6,7,7,1
61,6,8,7,2
62,6,9,7,3
63,7,0,6,7
64,7,1,6,6
65,7,2,6,5
66,7,3,6,4
67,7,4,6,3
68,7,5,6,2
69,7,6,6,1
70,7,8,8,1
71,7,9,8,2
72,8,0,7,8
73,8,1,7,7
74,8,2,7,6
75,8,3,7,5
76,8,4,7,4
77,8,5,7,3
78,8,6,7,2
79,8,7,7,1
80,8,9,9,1
81,9,0,8,9
82,9,1,8,8
83,9,2,8,7
84,9,3,8,6
85,9,4,8,5
86,9,5,8,4
87,9,6,8,3
88,9,7,8,2
89,9,8,8,1
