id,src,dst,next,cost
1,0,0,0,0
2,0,1,1,1
3,0,2,1,2
4,0,3,1,3
5,0,4,1,4
6,0,5,1,5
7,0,6,1,6
8,0,7,1,7
9,0,8,1,8
10,0,9,1,9
11,1,0,0,1
12,1,1,1,0
13,1,2,2,1
14,1,3,2,2
15,1,4,2,3
16,1,5,2,4
17,1,6,2,5
18,1,7,2,6
19,1,8,2,7
20,1,9,2,8
21,2,0,1,2
22,2,1,1,1
23,2,2,2,0
24,2,3,3,1
25,2,4,3,2
26,2,5,3,3
27,2,6,3,4
28,2,7,3,5
29,2,8,3,6
30,2,9,3,7
31,3,0,2,3
32,3,1,2,2
33,3,2,2,1
34,3,3,3,0
35,3,4,4,1
36,3,5,4,2
37,3,6,4,3
38,3,7,4,4
39,3,8,4,5
40,3,9,4,6
41,4,0,3,4
42,4,1,3,3
43,4,2,3,2
44,4,3,3,1
45,4,4,4,0
46,4,5,5,1
47,4,6,5,2
48,4,7,5,3
49,4,8,5,4
50,4,9,5,5
51,5,0,4,5
52,5,1,4,4
53,5,2,4,3
54,5,3,4,2
55,5,4,4,1
56,5,5,5,0
57,5,6,6,1
58,5,7,6,2
59,5,8,6,3
60,5,9,6,4
61,6,0,5,6
62,6,1,5,5
63,6,2,5,4
64,6,3,5,3
65,6,4,5,2
66,6,5,5,1
67,6,6,6,0
68,6,7,7,1
69,6,8,7,2
70,6,9,7,3
71,7,0,6,7
72,7,1,6,6
73,7,2,6,5
74,7,3,6,4
75,7,4,6,3
76,7,5,6,2
77,7,6,6,1
78,7,7,7,0
79,7,8,8,1
80,7,9,8,2
81,8,0,7,8
82,8,1,7,7
83,8,2,7,6
84,8,3,7,5
85,8,4,7,4
86,8,5,7,3
87,8,6,7,2
88,8,7,7,1
89,8,8,8,0
90,8,9,9,1
91,9,0,8,9
92,9,1,8,8
93,9,2,8,7
94,9,3,8,6
95,9,4,8,5
96,9,5,8,4
97,9,6,8,3
98,9,7,8,2
99,9,8,8,1
100,9,9,9,0
